TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531215427.279859,0.748441,0.263726,0.252251,0.110853,0.103769,0.062047,0.024911,0.043938,0.025689,0.026136,4.544417,1.927609,0.864469,0.862211,0.412873,0.721198,0.215429,0.231962,0.226947,0.138531,0.011493,0.007324,0.003089,0.004846,0.005961,0.247189,0.112620,0.114978,0.117198,0.083049,1.266019,0.526536,0.424521,0.476509,0.312602,0.069407,0.033285,0.033847,0.064314,0.052860,0.098255,0.052738,0.023928,0.068617,0.054650,0.058259,0.022215,0.021334,0.035158,0.037774,0.069355,0.083054,0.037418,0.063619,0.098035,0.011082,0.038205,0.008694,0.009977,0.016278,0.016717,0.040881,0.059127,0.037631,0.058628,0.183390,0.136616,0.103747,0.049017,0.068183,4,2,4,4,0,4,4,4,0,1,0,0,0,4
1531215427.404593,0.876678,0.300223,0.249997,0.115672,0.114818,0.073657,0.034002,0.054458,0.025787,0.027638,5.562345,1.957181,0.829948,0.867524,0.416383,0.883673,0.238933,0.242418,0.252880,0.142104,0.009026,0.007392,0.003192,0.004523,0.005767,0.326567,0.140961,0.136062,0.121713,0.085746,1.699414,0.596156,0.489395,0.443032,0.308211,0.083804,0.032790,0.038645,0.060498,0.054644,0.088814,0.046331,0.027165,0.059363,0.053737,0.062168,0.022349,0.021890,0.038053,0.036378,0.081403,0.095959,0.037410,0.065490,0.099189,0.013300,0.032106,0.008581,0.010499,0.017664,0.018421,0.043806,0.062491,0.038311,0.063854,0.233599,0.128989,0.093638,0.044356,0.072194,4,2,4,4,0,4,4,4,0,1,0,0,0,4
1531215427.529326,0.957051,0.340046,0.238438,0.123097,0.122636,0.083046,0.042550,0.060243,0.025428,0.029805,6.382373,2.007663,0.776862,0.859705,0.436933,1.038977,0.279061,0.253220,0.292719,0.154037,0.006751,0.007128,0.003796,0.004161,0.005503,0.407575,0.180236,0.154490,0.126024,0.086466,2.070456,0.684940,0.534298,0.434880,0.302864,0.094201,0.034334,0.043015,0.056902,0.054401,0.082883,0.040292,0.031089,0.052324,0.054386,0.063116,0.021684,0.021099,0.041898,0.034823,0.089062,0.115352,0.038737,0.068083,0.101962,0.015408,0.026714,0.008525,0.011603,0.018218,0.021926,0.049936,0.062908,0.039548,0.065491,0.275898,0.121202,0.082164,0.042014,0.074214,4,2,4,4,0,4,4,4,0,1,0,0,0,4
1531215427.654059,0.958768,0.362016,0.216425,0.132889,0.127712,0.086561,0.048408,0.058497,0.024339,0.032144,6.699567,2.027089,0.700019,0.815323,0.480876,1.138363,0.315447,0.260648,0.341479,0.169652,0.004967,0.006744,0.004719,0.003879,0.005204,0.454858,0.216351,0.164609,0.130952,0.085237,2.224556,0.751999,0.544756,0.449071,0.302511,0.097588,0.036981,0.044849,0.053188,0.052533,0.082686,0.036481,0.034691,0.047188,0.056711,0.062509,0.021354,0.019736,0.045593,0.033577,0.090415,0.140235,0.042269,0.069568,0.107087,0.017098,0.022914,0.008638,0.013024,0.017885,0.025797,0.059219,0.059416,0.040263,0.062665,0.300855,0.115209,0.070737,0.042532,0.075512,4,2,4,4,0,4,4,4,0,1,0,0,0,4
1531215427.778792,0.855575,0.357437,0.192471,0.146361,0.132052,0.081509,0.051377,0.049854,0.022518,0.033959,6.259850,1.980572,0.623141,0.738917,0.549046,1.131366,0.334901,0.266913,0.390922,0.183138,0.003838,0.006482,0.005603,0.003740,0.004908,0.450413,0.237142,0.165282,0.138096,0.082841,2.073904,0.772297,0.529159,0.472380,0.309631,0.089934,0.040121,0.043890,0.049322,0.049753,0.086899,0.035786,0.037646,0.043597,0.061585,0.061807,0.022639,0.018573,0.048326,0.033284,0.085747,0.167030,0.047305,0.069455,0.114043,0.018521,0.020830,0.008854,0.014282,0.016907,0.029197,0.069641,0.053156,0.039745,0.056282,0.299224,0.111623,0.061158,0.045598,0.077706,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215427.903526,0.683166,0.335645,0.177905,0.164586,0.137541,0.070359,0.052630,0.037367,0.020498,0.034597,5.238220,1.872583,0.567610,0.653848,0.635147,1.028934,0.337293,0.275918,0.431554,0.190880,0.003367,0.006460,0.006085,0.003712,0.004651,0.404269,0.238658,0.159946,0.148425,0.080393,1.711656,0.747525,0.506102,0.489591,0.322094,0.077041,0.043006,0.042174,0.045825,0.046753,0.091679,0.037990,0.040200,0.041306,0.069850,0.061387,0.026240,0.018180,0.049730,0.034204,0.076569,0.190540,0.051456,0.068862,0.121211,0.019779,0.020053,0.009057,0.014818,0.015689,0.032471,0.078546,0.047333,0.038195,0.048701,0.279935,0.110672,0.053922,0.050480,0.082068,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215428.028459,0.525673,0.316139,0.178415,0.185548,0.145267,0.057234,0.053894,0.025257,0.018975,0.033794,4.066661,1.742934,0.557015,0.581348,0.729577,0.896013,0.333056,0.291620,0.453299,0.194021,0.003499,0.006616,0.005998,0.003694,0.004472,0.344654,0.227792,0.154884,0.160346,0.078976,1.322899,0.709414,0.496796,0.488101,0.335243,0.062997,0.045481,0.042557,0.043420,0.044153,0.092622,0.041597,0.042829,0.040040,0.081175,0.060895,0.031813,0.019080,0.049888,0.036051,0.064724,0.205307,0.052535,0.069032,0.126404,0.020997,0.019961,0.009190,0.014300,0.014614,0.035867,0.083124,0.044767,0.036604,0.042666,0.263649,0.112695,0.049235,0.056200,0.088877,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215428.153793,0.420381,0.315113,0.192078,0.203579,0.155072,0.046479,0.056182,0.016830,0.018529,0.031854,3.091200,1.623244,0.601263,0.526824,0.820839,0.766195,0.333082,0.313092,0.448268,0.197861,0.004093,0.006729,0.005437,0.003628,0.004398,0.294663,0.215235,0.155155,0.169742,0.079019,1.072733,0.690331,0.511117,0.463395,0.343601,0.053884,0.047503,0.047332,0.042798,0.042382,0.086923,0.044565,0.046876,0.039772,0.093547,0.059331,0.037683,0.021809,0.049137,0.038177,0.052652,0.207963,0.049637,0.070240,0.127992,0.022307,0.019969,0.009427,0.012964,0.013938,0.039483,0.081797,0.046298,0.035885,0.039944,0.264230,0.116060,0.046308,0.061237,0.097089,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215428.279327,0.393313,0.336188,0.210802,0.211609,0.165195,0.039942,0.059530,0.013650,0.019476,0.029415,2.501636,1.526320,0.697606,0.483533,0.896374,0.672833,0.341811,0.334133,0.413323,0.207608,0.004888,0.006598,0.004735,0.003555,0.004405,0.270513,0.208156,0.163331,0.172061,0.080066,1.038320,0.704851,0.543358,0.419506,0.342344,0.049957,0.049229,0.056532,0.044233,0.041676,0.075028,0.044875,0.054529,0.040664,0.103921,0.055367,0.041604,0.026635,0.047856,0.039892,0.042641,0.198099,0.043276,0.071415,0.125718,0.023461,0.019713,0.010096,0.011516,0.013764,0.043601,0.075118,0.050512,0.036030,0.040452,0.281744,0.117466,0.044662,0.064478,0.104561,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531215428.404860,0.435511,0.370127,0.225660,0.205159,0.173293,0.038629,0.062821,0.015842,0.021726,0.027189,2.331738,1.451484,0.821964,0.446372,0.948449,0.624481,0.355131,0.347594,0.352040,0.224461,0.005638,0.006300,0.004323,0.003635,0.004462,0.275752,0.206815,0.178543,0.164523,0.081295,1.204838,0.736626,0.578989,0.366475,0.329980,0.050917,0.050225,0.067439,0.047141,0.041952,0.059924,0.041867,0.066789,0.042842,0.109358,0.048993,0.042285,0.033283,0.046269,0.040890,0.036143,0.178262,0.036099,0.071366,0.120452,0.023935,0.019175,0.011438,0.010678,0.014072,0.048323,0.064706,0.054384,0.036160,0.042438,0.309625,0.114445,0.043990,0.065291,0.108987,4,2,4,4,0,4,4,4,0,0,0,0,0,4
