TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531213412.656065,69.681153,76.467506,27.329936,2.965594,0.470656,2.922411,4.193439,1.551679,0.280567,0.106746,219.800012,233.850293,82.061876,8.369876,1.388914,58.746353,59.121755,21.382830,2.750333,0.476287,0.287149,0.120644,0.075474,0.037377,0.058504,22.910390,27.720146,9.550618,0.880712,0.191047,83.132546,97.989942,33.352005,3.594989,0.616297,11.093006,14.904018,5.492761,0.530982,0.177016,0.414755,0.452291,0.207763,0.054044,0.060474,0.149164,0.236607,0.067927,0.044565,0.075545,0.047617,0.044402,0.022066,0.028855,0.052977,0.063589,0.071231,0.040037,0.020580,0.028602,0.033332,0.053122,0.033237,0.029728,0.028872,76.381939,84.109727,30.399033,3.518760,0.428436,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531213412.782048,85.651024,71.038717,25.286877,3.320362,0.508965,3.650106,3.850334,1.484137,0.305289,0.102358,271.345167,217.457495,76.280709,9.415488,1.508400,73.795358,54.879291,19.825732,3.066827,0.518640,0.198007,0.075299,0.049851,0.026345,0.041265,28.952031,25.443806,9.018890,0.942398,0.213110,103.977783,87.826392,29.989655,3.829624,0.634767,14.431356,13.632735,4.984460,0.570918,0.167748,0.566274,0.455472,0.191792,0.050926,0.066059,0.186632,0.196429,0.052269,0.038612,0.069696,0.046224,0.038977,0.017599,0.024830,0.050351,0.068522,0.067833,0.044634,0.024310,0.032953,0.030647,0.046862,0.032587,0.026560,0.028091,93.839720,78.643088,28.315552,3.826899,0.449075,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531213412.908430,117.309443,65.865268,22.477316,3.719414,0.531349,5.281774,3.456326,1.321553,0.316978,0.094858,373.840969,202.013733,68.225759,10.569961,1.540766,102.387775,50.922487,17.597374,3.422088,0.549864,0.124856,0.047892,0.032422,0.018332,0.027472,40.777150,23.270540,8.208535,1.006305,0.223557,146.462714,79.117604,26.289661,4.027180,0.620533,20.931102,12.569580,4.398378,0.614284,0.158943,0.816879,0.454652,0.166151,0.046345,0.073293,0.238619,0.159435,0.042996,0.033888,0.066440,0.044555,0.036157,0.014166,0.020686,0.047487,0.073750,0.063239,0.045558,0.027215,0.036417,0.032568,0.041399,0.031263,0.025061,0.028233,129.147166,73.086663,25.041762,4.186177,0.468495,4,2,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.034613,161.214729,60.959491,19.413632,4.104690,0.530869,7.624809,3.043268,1.100335,0.318620,0.084921,516.546755,187.430680,59.203071,11.652443,1.474168,141.614084,47.192392,15.067583,3.757623,0.560598,0.071886,0.033785,0.020042,0.012108,0.017101,57.031249,21.195734,7.187275,1.076638,0.221106,205.646407,72.009457,22.665638,4.203539,0.579444,29.924221,11.701729,3.794093,0.660593,0.150703,1.140613,0.443805,0.133988,0.042212,0.079787,0.299470,0.127905,0.040625,0.031794,0.067068,0.043317,0.035350,0.011618,0.017327,0.045470,0.078774,0.058977,0.042592,0.028739,0.038451,0.040394,0.036568,0.029828,0.024662,0.028954,178.774113,67.479086,21.261507,4.559020,0.479244,4,3,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.160796,214.558768,55.933621,16.559694,4.413123,0.508908,10.476126,2.633655,0.867462,0.313850,0.073954,690.779925,172.369351,50.502730,12.470837,1.330233,189.247875,43.402399,12.650919,4.005902,0.546918,0.037879,0.025761,0.011581,0.007789,0.010002,76.969967,19.115105,6.079867,1.151910,0.207870,278.044554,65.847814,19.434470,4.378951,0.521546,40.961069,10.905601,3.216239,0.708207,0.141976,1.514756,0.420550,0.101214,0.040624,0.083313,0.366413,0.102295,0.043394,0.033027,0.072267,0.043382,0.035687,0.009778,0.015430,0.044904,0.085062,0.056275,0.037039,0.028507,0.039103,0.055676,0.032943,0.029050,0.025245,0.030083,240.290108,61.615299,17.715321,4.885829,0.475127,4,3,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.286779,275.807019,50.524432,14.203494,4.606733,0.473708,13.685432,2.246545,0.665014,0.304216,0.063827,892.230767,155.912218,43.065759,12.930955,1.153964,244.334603,39.373868,10.664015,4.124167,0.514611,0.020831,0.019831,0.007320,0.005467,0.005803,100.413206,17.002396,5.040663,1.232561,0.188364,362.223263,59.878354,16.790241,4.594187,0.459199,53.706993,10.051501,2.711205,0.757409,0.131681,1.923895,0.388451,0.074079,0.042819,0.082644,0.441083,0.082345,0.047218,0.037398,0.081285,0.045539,0.036525,0.008631,0.015243,0.045553,0.097275,0.055456,0.031245,0.026813,0.039058,0.080807,0.031066,0.029714,0.027373,0.031703,312.323191,55.477692,14.959896,5.120894,0.454931,4,3,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.412761,344.567228,44.606105,12.342228,4.706365,0.436506,17.152733,1.890470,0.515649,0.291648,0.056327,1119.959002,137.704657,37.108196,13.122821,0.996608,307.010800,34.998671,9.177960,4.129810,0.476156,0.014705,0.014907,0.005751,0.004621,0.003706,127.389743,14.869735,4.169989,1.331158,0.167692,458.064756,53.530775,14.660040,4.915452,0.404301,67.987993,9.058230,2.303116,0.815837,0.119842,2.354779,0.350874,0.056130,0.049095,0.077831,0.526093,0.067408,0.049292,0.044033,0.091661,0.051190,0.037427,0.008659,0.016536,0.046524,0.119222,0.055941,0.027836,0.025284,0.039396,0.117696,0.031542,0.031865,0.031456,0.033843,394.242846,49.036994,13.055538,5.280196,0.424739,4,3,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.539145,419.653147,38.271375,10.843914,4.787541,0.408961,20.792208,1.570799,0.423096,0.279423,0.052620,1370.317908,118.099342,32.325298,13.327022,0.900834,376.289169,30.322227,8.110024,4.093423,0.444451,0.013666,0.011226,0.005170,0.004476,0.002882,157.315178,12.771858,3.517139,1.468975,0.150822,563.566711,46.670658,12.878360,5.406478,0.368045,83.369963,7.933241,2.007311,0.893027,0.107862,2.792626,0.310615,0.048221,0.058682,0.070017,0.622601,0.056609,0.048450,0.051958,0.100072,0.060744,0.037957,0.010513,0.018743,0.046965,0.150855,0.056199,0.028008,0.025972,0.040972,0.166568,0.034032,0.034467,0.036975,0.036186,483.925590,42.341241,11.749871,5.438386,0.396831,4,3,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.664927,497.721482,32.014867,9.426392,4.943773,0.400354,24.542431,1.302302,0.367478,0.272566,0.052793,1632.542764,98.686099,27.890234,13.876662,0.890003,448.783388,25.699652,7.208620,4.098401,0.427470,0.013769,0.008818,0.004855,0.004347,0.002720,188.698731,10.875553,3.024253,1.658201,0.141653,673.497286,39.833797,11.167559,6.071301,0.358606,99.074719,6.794264,1.777729,0.992773,0.098076,3.217362,0.269726,0.048160,0.070112,0.060987,0.727882,0.049196,0.044655,0.059982,0.103883,0.072781,0.038427,0.014069,0.021485,0.046918,0.188078,0.054666,0.031181,0.029825,0.043721,0.223662,0.037281,0.036490,0.042509,0.038349,576.754536,35.787019,10.525785,5.685954,0.384568,4,3,4,4,0,4,4,4,0,0,0,0,0,4
1531213413.791110,573.168275,26.423941,7.963207,5.207445,0.412949,28.296395,1.094193,0.327232,0.275116,0.055881,1888.285267,81.328729,23.424206,14.891707,0.958190,518.787311,21.564737,6.277472,4.173590,0.425350,0.014271,0.007435,0.004817,0.004052,0.002964,219.077072,9.331272,2.632525,1.884803,0.141797,779.284804,33.712367,9.438041,6.813111,0.376416,113.996964,5.786795,1.583146,1.106595,0.092728,3.605484,0.227602,0.051623,0.082047,0.052550,0.833747,0.044816,0.039528,0.066418,0.102518,0.084688,0.039903,0.018566,0.024901,0.047413,0.224258,0.050667,0.035496,0.035954,0.046537,0.280661,0.039986,0.037801,0.046587,0.040309,665.846192,29.898153,9.138248,6.042703,0.394371,4,3,4,4,0,4,4,4,0,0,0,0,0,4
