TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531214961.561725,17.613446,1.442484,1.640858,0.471267,0.516299,0.904966,0.082386,0.081401,0.068769,0.056881,91.356368,6.975619,9.075663,1.938984,1.718252,11.485608,1.008821,1.014391,0.289591,0.467228,0.013183,0.009929,0.012366,0.011857,0.010761,10.408584,0.868280,1.182340,0.246218,0.283448,44.332447,5.145599,3.133172,1.285216,0.776109,2.275440,0.481548,0.150647,0.137446,0.145869,0.163909,0.047229,0.039203,0.039480,0.054136,0.380357,0.035750,0.040844,0.036288,0.043664,0.055099,0.072110,0.033938,0.055661,0.066067,0.080751,0.070988,0.017257,0.046522,0.051921,0.622651,0.479862,0.113749,0.168387,0.102537,5.769398,0.870941,0.617185,0.270231,0.244839,4,1,4,4,0,4,4,4,0,0,0,0,0,4
1531214961.688992,16.565216,1.022760,1.632495,0.591848,0.528730,0.899551,0.081561,0.096533,0.070375,0.064308,86.400959,4.547156,8.514338,2.406332,1.744319,10.783413,0.709874,0.978349,0.320739,0.494269,0.016214,0.010258,0.018805,0.018511,0.014187,10.239391,0.726564,1.103626,0.310593,0.308702,43.312050,4.424805,3.910299,1.603545,0.704258,2.530991,0.457579,0.154591,0.139260,0.135120,0.137907,0.049081,0.034708,0.037036,0.049608,0.414196,0.035815,0.044734,0.036871,0.045050,0.059044,0.058608,0.032937,0.052395,0.055561,0.058127,0.052975,0.015285,0.041359,0.050263,0.223973,0.213304,0.049283,0.069427,0.061617,6.021470,0.665672,0.610912,0.264463,0.228218,4,1,4,4,0,4,4,4,0,0,0,0,0,4
1531214961.816259,14.468714,0.774516,1.826859,0.726014,0.558564,0.844255,0.090594,0.123575,0.071338,0.073609,74.697843,3.236422,9.156134,2.951433,1.887176,9.260066,0.547961,1.050020,0.353442,0.518373,0.020421,0.010539,0.027000,0.025319,0.017695,9.495846,0.687799,1.118567,0.396054,0.359725,38.720282,3.831341,5.230628,1.995848,0.726262,2.754229,0.452262,0.190032,0.152193,0.129911,0.113104,0.048274,0.034494,0.034794,0.045351,0.402562,0.037282,0.048870,0.038744,0.046095,0.062838,0.046271,0.031542,0.052442,0.046317,0.041696,0.043372,0.014396,0.037801,0.048127,0.072451,0.098017,0.033590,0.029175,0.037692,5.842773,0.548680,0.700087,0.290373,0.221161,4,1,4,4,0,4,4,4,2,0,0,0,0,4
1531214961.943527,12.377890,0.723647,2.168573,0.846420,0.619936,0.765127,0.106098,0.163204,0.071509,0.083047,64.982485,3.289313,10.799751,3.450978,2.156999,7.977635,0.574672,1.224889,0.382878,0.541724,0.024762,0.010468,0.034705,0.030120,0.020121,8.721981,0.773872,1.220568,0.497189,0.421505,33.737732,3.575264,6.825194,2.383770,0.834483,3.053827,0.469306,0.252925,0.173916,0.132357,0.088395,0.044218,0.038807,0.033497,0.041982,0.358340,0.038496,0.052277,0.042425,0.046032,0.063668,0.037711,0.029458,0.055327,0.039163,0.031679,0.040027,0.015207,0.035424,0.044608,0.036420,0.057548,0.031045,0.019662,0.027197,5.513458,0.510625,0.847477,0.331410,0.227421,4,1,4,4,0,4,4,4,2,0,0,0,0,4
1531214962.070794,10.609337,0.854396,2.524429,0.934618,0.713549,0.729577,0.128895,0.216136,0.071405,0.090851,56.416644,4.568532,12.740338,3.809624,2.520807,6.910203,0.789009,1.451518,0.409256,0.565100,0.028143,0.009513,0.039093,0.031162,0.020672,7.865208,0.985621,1.360823,0.603882,0.476794,28.385870,3.760543,8.249039,2.680261,1.007534,3.969190,0.627540,0.344177,0.201749,0.144878,0.072043,0.037199,0.045269,0.033146,0.039548,0.287765,0.038719,0.053698,0.048029,0.044787,0.061188,0.032791,0.026884,0.058610,0.034038,0.027630,0.038324,0.017473,0.033516,0.039756,0.033335,0.045174,0.029732,0.019756,0.024288,5.214172,0.532353,1.000462,0.366731,0.245513,4,1,4,4,0,4,4,4,2,0,0,0,0,4
1531214962.197961,10.091859,1.167285,2.773924,1.015801,0.822806,0.779329,0.169068,0.285510,0.072954,0.095505,55.881810,6.906571,14.239063,4.129600,2.912450,7.162672,1.215158,1.685834,0.459630,0.584811,0.032631,0.007777,0.038708,0.028474,0.020150,7.489186,1.299706,1.475729,0.710719,0.510863,25.828148,4.415682,9.117857,2.856232,1.218813,6.732643,1.279089,0.499227,0.237349,0.170493,0.064824,0.029403,0.050732,0.033193,0.037684,0.228931,0.038992,0.053613,0.055084,0.042963,0.055449,0.029818,0.023836,0.059226,0.030146,0.026966,0.034836,0.020258,0.031975,0.034627,0.036380,0.039566,0.028122,0.021364,0.024170,5.219647,0.603292,1.116351,0.393108,0.270032,4,1,4,4,0,4,4,4,2,0,0,0,0,4
1531214962.325228,10.534073,1.703324,3.005981,1.226494,0.924060,0.910420,0.236541,0.379197,0.083222,0.096797,61.123224,10.408888,15.672255,5.043337,3.272503,8.572505,1.964496,2.065314,0.646109,0.596759,0.045892,0.006275,0.034306,0.023810,0.020597,7.558863,1.692492,1.569152,0.848811,0.519252,25.528012,5.598723,9.579367,3.104696,1.451847,12.127603,2.776786,0.795670,0.293349,0.210324,0.065947,0.024079,0.052402,0.033395,0.036398,0.186454,0.043035,0.056272,0.064355,0.041696,0.047231,0.027024,0.020683,0.055416,0.026663,0.027658,0.028926,0.022818,0.031289,0.030625,0.039671,0.034993,0.026111,0.023360,0.025376,5.372061,0.736796,1.229684,0.454962,0.295226,4,1,4,4,0,4,4,4,0,0,0,0,0,4
1531214962.452495,12.495956,2.570820,3.522354,1.753842,0.995621,1.138450,0.335562,0.499925,0.110756,0.095587,75.957823,15.746347,18.583970,7.403057,3.566719,12.150150,3.276211,2.884731,1.105793,0.597816,0.075915,0.006251,0.028229,0.019598,0.023884,8.774646,2.160914,1.722232,1.074327,0.506984,29.222211,7.443012,10.339867,3.732185,1.693785,20.132340,5.174127,1.291224,0.383370,0.259980,0.073878,0.024292,0.049281,0.034404,0.036217,0.196729,0.058038,0.067626,0.076507,0.042155,0.038062,0.024054,0.018598,0.047800,0.023464,0.030237,0.021961,0.025454,0.032169,0.028758,0.044324,0.032210,0.025942,0.026343,0.028296,5.931426,0.992286,1.455910,0.621473,0.316465,4,1,4,4,0,4,4,4,0,0,0,0,0,4
1531214962.579762,15.144500,3.829780,4.584012,2.685453,1.024575,1.403760,0.457484,0.635408,0.159320,0.093142,95.650030,23.420012,24.335709,11.610322,3.779866,16.822547,5.294363,4.338319,1.887378,0.586188,0.123519,0.008352,0.023281,0.017720,0.030895,10.814606,2.701900,2.018659,1.416817,0.483408,35.125672,9.989225,12.104771,4.929895,1.923963,28.910377,8.050561,1.954469,0.505946,0.308925,0.085326,0.031057,0.042289,0.037184,0.037488,0.250645,0.088371,0.090951,0.090849,0.044868,0.030258,0.022551,0.019283,0.038953,0.021264,0.035006,0.015789,0.028665,0.034862,0.029070,0.053275,0.032041,0.029330,0.030564,0.033282,6.609104,1.416813,1.892382,0.929599,0.330729,4,1,4,4,0,4,4,4,0,0,0,0,0,4
1531214962.707029,17.861513,5.361722,6.179766,3.899380,1.011196,1.624229,0.577943,0.756386,0.222536,0.090493,115.469230,32.847406,32.851026,17.109327,3.906595,21.728562,7.845872,6.303929,2.875905,0.563787,0.182396,0.014182,0.022866,0.018879,0.041734,13.304272,3.265304,2.466485,1.840076,0.457344,41.514027,12.960541,15.008684,6.571264,2.109615,36.127704,10.603707,2.648470,0.637322,0.343560,0.096565,0.041792,0.034068,0.042224,0.040069,0.336957,0.130281,0.124031,0.104958,0.049700,0.026122,0.023973,0.023700,0.032016,0.020964,0.042030,0.011776,0.032610,0.038955,0.030678,0.067156,0.034207,0.036817,0.035416,0.039833,7.249477,1.977087,2.527432,1.342176,0.337574,4,1,4,4,0,4,4,4,0,0,0,0,0,4
