Theta,Alpha,Low_Beta,High_Beta,Gamma
0.906473205,0.506002328,0.160033369,0.0915111,0.066752205
3.821076872,2.490252103,0.921827407,0.4093874,0.446101756
1.681637401,1.030549839,0.406918735,0.20585033,0.124033534
1.526891155,1.087846018,0.557372465,0.305043046,0.269542785
12.2991023,0.960065648,0.718214507,0.370343402,0.407247555
0.650437475,0.618534482,0.2138993,0.145850817,0.087430542
1.820650013,2.177085559,0.651633116,0.277508044,0.142283607
2.344726548,2.55810059,0.904645564,0.358254636,0.181703559
0.981515381,1.746870331,0.480101291,0.225440903,0.133763397
0.015687833,0.016799609,0.015524592,0.014010864,0.016021476
3.432435832,3.012127122,1.154002884,0.554853528,0.397075066
3.294856241,2.656945798,0.937491603,0.483706613,0.281185491
3.623415079,2.84430957,1.131005535,0.607174979,0.497493735
3.16450259,2.074919677,0.705109463,0.332965542,0.191217809
,,,,
2.825957709,1.69860062,0.639841416,0.312992943,0.231560894
