Theta,Alpha,Low_Beta,High_beta,Gamma
0.169183942,0.094121807,0.045052228,0.038955255,0.030982503
7.143778525,2.454596908,0.903277406,0.692429691,0.429920812
5.072165793,2.123126963,0.880783613,0.447417813,0.193966841
0.568819781,0.347032083,0.135685788,0.106881299,0.094516992
33.80588933,4.417437141,0.899862227,0.701141778,0.481507104
1.27154099,0.538178635,0.186261555,0.159806822,0.079754002
4.438670922,2.216774661,0.602761473,0.342012183,0.135950213
5.252687872,2.56391425,0.957029789,0.447880189,0.172929216
1.814364229,1.776903344,0.500995401,0.255479084,0.14250252
0.013897341,0.011063595,0.00854202,0.008063492,0.007940945
10.21147542,5.285855422,2.129080744,1.125207418,0.596411002
5.649431609,2.915587358,1.014254632,0.537952316,0.344507039
8.603551711,3.544473835,1.402543796,0.95348032,0.514668336
2.981892731,1.625027532,0.700952218,0.363322781,0.215158641
,,,,
6.214096443,2.136720967,0.740505921,0.441430746,0.24576544
