Theta,Alpha,Low_Beta,High_Beta,Gamma
1.189288521,1.142699738,0.379326481,0.155941489,0.114120355
5.536115831,2.637818291,1.000908621,0.513478254,0.481471312
1.097174237,1.253973152,0.461894097,0.213779486,0.146439284
1.923458872,1.963208356,0.90726867,0.532547512,0.473273969
6.100040715,1.849340745,1.2123586,0.681244869,0.874373608
0.472408375,0.58122986,0.194242228,0.133010726,0.096376655
1.1161823,2.417207411,0.729390719,0.285189612,0.17252836
1.569921914,3.044693409,1.189408829,0.381581296,0.223847659
0.941380779,2.207922315,0.663365424,0.27831145,0.171779217
0.115732165,0.142730203,0.133199127,0.112157388,0.124465235
2.068182618,3.386762176,1.39204603,0.624978678,0.452861685
2.315760756,3.257999913,1.100519489,0.48084096,0.318374341
2.815984838,3.586132363,1.46745276,0.758599042,0.524974471
2.598120918,3.136835511,1.014877411,0.434116762,0.267468914
,,,,
2.132839489,2.186325246,0.846161321,0.398984109,0.317311076
