Theta,Alpha,Low_Beta,High_beta,Gamma
0.175341657,0.106776377,0.050493155,0.036835116,0.034858738
3.078337934,1.820306257,0.845354172,0.583890765,0.586011054
1.568661046,1.110461598,0.455793312,0.255234266,0.151233695
0.941986203,0.582379611,0.306839918,0.20908993,0.178952487
4.022533201,1.328112571,0.898502861,0.621174102,0.814965118
0.48624021,0.470830204,0.171632381,0.1124655,0.093101195
1.353381124,1.758779234,0.544531799,0.252034114,0.152397793
1.758398746,2.015297451,0.837254056,0.343103694,0.198273318
0.810732262,1.396064288,0.4199629,0.216464353,0.159525545
0.010198574,0.009929703,0.008503907,0.007672307,0.008973635
2.403275153,2.245046849,1.125059241,0.58386267,0.448999386
2.608815438,2.27140203,0.875721782,0.48262335,0.312269061
2.68179667,2.275545761,1.128815866,0.666157109,0.541742858
1.883502093,1.249163472,0.499973604,0.268469191,0.182253083
,,,,
1.698800022,1.331435386,0.583459925,0.331362605,0.275968355
