TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531220840.080711,0.041688,0.047490,0.026088,0.035929,0.025985,0.627845,1.108782,0.495251,0.442514,0.243712,0.938440,1.429924,0.244223,0.158125,0.121578,0.226633,0.312986,0.232770,0.100738,0.072038,0.401937,0.925517,0.433948,0.647455,0.468035,0.226359,0.268729,0.187525,0.096801,0.070801,0.721614,0.360012,0.465016,0.217375,0.143181,0.917821,1.199281,0.371652,0.404698,0.157102,0.663672,0.811234,0.156307,0.218393,0.134851,0.005713,0.009886,0.006398,0.005045,0.005511,0.980708,2.642196,0.553992,0.562502,0.206175,1.161489,1.878514,0.702626,0.565961,0.120722,1.012505,1.719006,0.663284,0.611796,0.294525,0.676312,1.311828,0.216624,0.266943,0.142056,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.206795,0.049263,0.038911,0.024845,0.031553,0.026202,0.775556,1.030402,0.644474,0.459536,0.243169,1.102820,1.309087,0.362956,0.167474,0.130286,0.199138,0.320121,0.207204,0.094680,0.071020,0.383754,0.945315,0.586717,0.557140,0.444990,0.247380,0.260591,0.214325,0.086092,0.062431,0.740161,0.327029,0.573022,0.216426,0.123293,0.878167,1.112506,0.412844,0.406271,0.143094,0.639645,0.721643,0.180096,0.203943,0.125269,0.005172,0.011371,0.006616,0.005529,0.005398,0.762192,2.519913,0.790943,0.562141,0.176202,1.204698,1.915519,0.904971,0.519785,0.117253,0.901404,1.605580,0.742494,0.580087,0.273543,0.693435,1.261319,0.275729,0.273732,0.124150,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.333278,0.061085,0.036715,0.023385,0.026585,0.026915,0.933280,1.005655,0.832223,0.460086,0.240207,1.257920,1.171295,0.499139,0.186308,0.145050,0.181745,0.317917,0.182738,0.091909,0.073834,0.384252,0.970054,0.794827,0.457207,0.413425,0.248126,0.241178,0.226127,0.077328,0.054856,0.736015,0.319614,0.652536,0.224753,0.107828,0.868681,0.990460,0.435565,0.393418,0.129576,0.593823,0.635697,0.208139,0.183565,0.110451,0.004676,0.012263,0.007212,0.005949,0.005273,0.653358,2.198625,1.034545,0.554532,0.149330,1.400868,1.854050,1.088950,0.462693,0.119410,0.918141,1.438415,0.817202,0.521697,0.251570,0.791102,1.162007,0.327127,0.264033,0.103729,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.459462,0.081535,0.039696,0.021603,0.022428,0.028063,1.101041,0.977851,1.026498,0.442079,0.237000,1.363382,1.012871,0.613711,0.207732,0.164298,0.170736,0.307263,0.165673,0.091778,0.079466,0.399795,0.961469,1.015217,0.380669,0.388484,0.227190,0.212403,0.223617,0.070864,0.049665,0.690646,0.320181,0.691466,0.244074,0.101630,0.846651,0.823108,0.434779,0.375596,0.120507,0.533017,0.555843,0.233644,0.165968,0.095422,0.004715,0.012166,0.007729,0.006192,0.005069,0.680821,1.761067,1.211949,0.544068,0.131311,1.737088,1.702529,1.211580,0.412710,0.130907,1.091359,1.220107,0.875362,0.453780,0.235708,1.030477,1.032428,0.362234,0.242447,0.085459,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.585346,0.110421,0.047169,0.019446,0.020453,0.029360,1.270790,0.919208,1.179567,0.412660,0.233539,1.403684,0.855314,0.671718,0.224260,0.184759,0.168254,0.292336,0.159659,0.093528,0.087482,0.427369,0.897255,1.184521,0.348799,0.382856,0.191279,0.181128,0.209386,0.066077,0.047368,0.605734,0.326533,0.692403,0.270332,0.105581,0.782682,0.633616,0.412518,0.362483,0.117235,0.473888,0.490377,0.248059,0.159326,0.085906,0.006227,0.011066,0.007772,0.006307,0.004755,0.811926,1.340182,1.268831,0.537497,0.125506,2.139833,1.522165,1.241995,0.383808,0.152665,1.372516,1.006213,0.905249,0.397629,0.230755,1.395913,0.907115,0.375986,0.217623,0.072631,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.711430,0.144173,0.057116,0.016913,0.021442,0.030376,1.431908,0.823916,1.252012,0.379360,0.228873,1.418392,0.727302,0.663589,0.231534,0.202489,0.179674,0.274572,0.164293,0.096746,0.097895,0.463396,0.782703,1.245610,0.365144,0.401151,0.153072,0.155386,0.186148,0.062204,0.047417,0.493800,0.345479,0.673891,0.295510,0.116901,0.679365,0.465112,0.380815,0.357678,0.118537,0.441318,0.445619,0.249260,0.167088,0.085731,0.009790,0.009384,0.007214,0.006450,0.004405,1.008129,1.054115,1.192319,0.539185,0.132850,2.545799,1.372527,1.172475,0.378132,0.181401,1.704236,0.860130,0.890817,0.368223,0.236701,1.825347,0.807147,0.368582,0.196471,0.066443,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.837313,0.175477,0.066340,0.014529,0.025095,0.030670,1.557751,0.721147,1.235061,0.347422,0.222377,1.425298,0.652418,0.612282,0.230324,0.213721,0.194371,0.254473,0.175401,0.102699,0.109810,0.501027,0.648962,1.181148,0.420619,0.436355,0.125039,0.141418,0.156333,0.059734,0.049075,0.379078,0.384161,0.654452,0.309319,0.131023,0.569915,0.373282,0.361627,0.359637,0.121988,0.458026,0.428715,0.251025,0.188560,0.095437,0.014989,0.007819,0.006143,0.006758,0.004171,1.228054,0.977018,1.029635,0.551849,0.152420,2.913587,1.308247,1.032072,0.390063,0.210305,2.003313,0.851175,0.844167,0.372206,0.249031,2.220540,0.745882,0.350560,0.183097,0.065969,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220840.963397,0.194403,0.071886,0.013151,0.029997,0.030082,1.606594,0.654678,1.146463,0.318307,0.214341,1.416362,0.645856,0.556395,0.225512,0.216410,0.210994,0.232743,0.188375,0.114696,0.120954,0.533405,0.536701,1.026433,0.501349,0.472403,0.111793,0.144400,0.125014,0.060828,0.052325,0.287154,0.443034,0.646467,0.306028,0.143727,0.496386,0.379493,0.373470,0.363348,0.125184,0.525696,0.439080,0.274328,0.219234,0.112201,0.020461,0.007005,0.004856,0.007195,0.004185,1.425367,1.096160,0.863104,0.574714,0.181024,3.160630,1.345919,0.876672,0.411876,0.231875,2.176607,0.998412,0.803508,0.406405,0.261046,2.450041,0.724786,0.334398,0.178632,0.068997,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220841.090581,0.194307,0.072413,0.013616,0.034351,0.028824,1.584030,0.651618,1.019301,0.292185,0.206359,1.378709,0.696836,0.526591,0.226768,0.211078,0.224695,0.210441,0.204084,0.137550,0.128904,0.552271,0.473775,0.848512,0.593639,0.492393,0.108266,0.164441,0.097984,0.068444,0.057926,0.234476,0.510923,0.648507,0.287286,0.152094,0.470107,0.462159,0.414021,0.363894,0.126323,0.626231,0.479394,0.334109,0.250984,0.130638,0.024473,0.007221,0.003758,0.007566,0.004510,1.576077,1.332541,0.763807,0.604472,0.212415,3.226504,1.475525,0.770621,0.440144,0.240458,2.198807,1.261970,0.807881,0.461121,0.267158,2.442171,0.746955,0.329198,0.181280,0.072814,3,4,4,4,4,4,4,4,4,3,4,4,4,4
1531220841.217865,0.174576,0.068894,0.016200,0.036836,0.027338,1.510266,0.710513,0.886248,0.274322,0.200275,1.266860,0.778249,0.529615,0.245693,0.200148,0.247578,0.189799,0.227063,0.174157,0.132547,0.564422,0.458729,0.715669,0.680116,0.486695,0.109226,0.194945,0.081733,0.085040,0.066782,0.228195,0.566963,0.647232,0.261158,0.155132,0.474144,0.564831,0.465294,0.360918,0.124636,0.727742,0.548484,0.430482,0.275643,0.144968,0.025759,0.008304,0.003097,0.007617,0.005184,1.679163,1.590395,0.769841,0.641801,0.239128,3.077866,1.685356,0.759087,0.482028,0.234450,2.106527,1.571762,0.882579,0.533211,0.266868,2.224072,0.825227,0.340174,0.191885,0.075514,3,4,4,4,4,4,4,4,4,3,4,4,4,4
