TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531373114.688059,0.110727,0.134589,0.077536,0.038693,0.060053,1.440069,0.685399,0.345528,0.092990,0.213252,0.727592,1.098139,0.587735,0.124080,0.266867,1.594900,2.140092,0.988590,0.259024,0.424538,0.589687,0.787901,0.384064,0.108678,0.266086,0.322182,0.479800,0.390013,0.127624,0.240550,0.697821,1.350910,1.216425,0.511161,0.756929,0.626826,1.518941,1.518687,0.403394,0.533646,2.827923,1.666720,1.389165,0.321607,0.624432,1.714231,2.340070,0.876495,0.456802,0.493347,1.049425,2.409786,0.696965,0.277813,0.425567,2.035182,0.939087,0.245487,0.097356,0.112179,0.348588,1.668369,0.548589,0.249370,0.271946,0.079302,0.273656,0.115412,0.074825,0.043124,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373114.812542,0.120275,0.120962,0.068142,0.040201,0.073119,1.672757,0.717551,0.345063,0.102580,0.252573,0.746553,1.133852,0.585093,0.130473,0.345770,1.693160,2.056494,0.953641,0.247651,0.540885,0.638775,0.739056,0.424585,0.117689,0.269687,0.264005,0.460826,0.401424,0.138041,0.310823,0.691361,1.402726,1.170589,0.537290,0.902115,0.455714,1.736452,1.460135,0.475021,0.574063,3.601615,1.948947,1.382443,0.417097,0.753859,1.937063,2.861544,1.031282,0.551816,0.619971,1.398084,3.036281,0.735835,0.315371,0.560256,7.086587,2.280101,0.516374,0.162016,0.148455,0.412220,1.794250,0.492491,0.268938,0.369161,0.114374,0.403247,0.116942,0.084458,0.049932,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373114.937025,0.125735,0.102510,0.054157,0.040901,0.087382,1.785710,0.735610,0.306343,0.113011,0.288530,0.761887,1.118754,0.537302,0.146701,0.448385,1.801159,1.919565,0.819799,0.235993,0.672639,0.682248,0.662828,0.437005,0.130057,0.270589,0.221548,0.405263,0.392797,0.160162,0.391574,0.647912,1.328972,1.051955,0.581717,1.041014,0.330425,1.806403,1.369123,0.550394,0.671236,4.180089,2.108855,1.324347,0.520491,0.934352,2.004815,3.404487,1.158952,0.636170,0.792457,1.846479,3.734775,0.762251,0.361126,0.742000,17.572521,4.887292,1.124897,0.299454,0.204543,0.445321,1.869398,0.405824,0.278431,0.483724,0.214629,0.571385,0.121118,0.095167,0.058553,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.061709,0.129560,0.084915,0.039489,0.039714,0.100374,1.757562,0.737671,0.237995,0.119605,0.314105,0.788591,1.074213,0.468120,0.176416,0.567329,1.867292,1.809150,0.629093,0.228459,0.806312,0.698351,0.587927,0.420428,0.144352,0.278900,0.192945,0.340099,0.377412,0.197932,0.471895,0.575834,1.168584,0.910661,0.657191,1.158062,0.261441,1.704134,1.262240,0.605715,0.816191,4.327299,2.126301,1.238999,0.606687,1.139415,1.889848,3.883718,1.246078,0.680501,1.010936,2.398089,4.385590,0.777938,0.401681,0.955215,33.433046,8.696545,2.095315,0.519286,0.282782,0.437298,1.874069,0.310109,0.272567,0.597735,0.355394,0.744379,0.126085,0.103763,0.068481,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.186992,0.132757,0.072031,0.027262,0.036811,0.109228,1.601243,0.716373,0.160511,0.119731,0.324028,0.840502,1.017211,0.403440,0.217580,0.681427,1.870574,1.749656,0.439027,0.226529,0.918989,0.724598,0.535906,0.387624,0.160746,0.301493,0.195985,0.289187,0.365920,0.247603,0.536076,0.505878,0.985812,0.785332,0.754458,1.235450,0.250641,1.470585,1.151775,0.622901,0.975090,4.034583,2.013139,1.151698,0.655309,1.323323,1.701147,4.178041,1.282759,0.667393,1.248918,2.992755,4.818011,0.786460,0.425946,1.162567,51.964886,12.992182,3.260593,0.790197,0.375337,0.402438,1.788601,0.229428,0.251707,0.689232,0.543284,0.874476,0.130292,0.107443,0.078680,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.312475,0.134717,0.064720,0.019648,0.033277,0.111388,1.356839,0.662375,0.097346,0.114269,0.315542,0.910831,0.955765,0.359876,0.260983,0.760789,1.802073,1.704077,0.300471,0.228936,0.984294,0.774848,0.508096,0.352484,0.181407,0.336539,0.221830,0.264985,0.360115,0.296737,0.570288,0.490964,0.839330,0.687802,0.841878,1.259211,0.298882,1.182080,1.041273,0.593628,1.101254,3.401592,1.812665,1.089818,0.656690,1.434743,1.550740,4.187644,1.284936,0.603376,1.454035,3.491957,4.879781,0.785037,0.430536,1.313337,68.173250,16.595525,4.308028,1.044800,0.463450,0.377452,1.607160,0.185160,0.223708,0.738142,0.694063,0.918699,0.130131,0.105132,0.087392,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.437959,0.134236,0.061010,0.016372,0.030251,0.105801,1.084097,0.576253,0.061944,0.106819,0.289718,0.992589,0.895303,0.331340,0.295492,0.779048,1.688057,1.621068,0.227141,0.234246,0.982782,0.867643,0.493868,0.321707,0.209893,0.374033,0.263315,0.266402,0.356166,0.328599,0.568574,0.573091,0.760122,0.616704,0.882201,1.225476,0.408887,0.917732,0.929718,0.524095,1.153483,2.658546,1.585988,1.062169,0.617030,1.437348,1.560745,3.885517,1.267515,0.520819,1.567798,3.788902,4.519812,0.766299,0.420455,1.362913,76.944673,18.350365,4.903314,1.205118,0.523303,0.405290,1.346185,0.183912,0.201994,0.733939,0.789927,0.859604,0.125871,0.098093,0.092755,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.563842,0.129820,0.058113,0.016416,0.028521,0.093705,0.845961,0.475895,0.061513,0.101540,0.252090,1.057857,0.853145,0.315803,0.313897,0.726349,1.569271,1.490437,0.217588,0.242373,0.912375,0.986925,0.488685,0.297667,0.246945,0.400514,0.304640,0.283802,0.347021,0.330459,0.534899,0.756269,0.747843,0.566617,0.855382,1.142747,0.569826,0.737894,0.821566,0.435417,1.112658,2.019403,1.393125,1.053827,0.554998,1.325729,1.707949,3.360184,1.254170,0.462726,1.551864,3.753271,3.816336,0.723596,0.405831,1.292602,75.365221,17.656529,4.843797,1.218780,0.535462,0.494150,1.058881,0.221197,0.197643,0.679773,0.772363,0.714089,0.119829,0.088499,0.093540,3,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.690125,0.121862,0.054468,0.018566,0.028010,0.078295,0.672434,0.387912,0.095179,0.100427,0.211039,1.084635,0.854067,0.315630,0.314417,0.615420,1.498169,1.353589,0.251957,0.251784,0.790636,1.093890,0.496061,0.280940,0.288047,0.405730,0.337392,0.305119,0.328549,0.299589,0.480380,0.995283,0.783381,0.537510,0.769196,1.028753,0.751666,0.661482,0.730435,0.354170,0.988937,1.583490,1.266093,1.043910,0.491400,1.130210,1.932988,2.783311,1.270078,0.459122,1.410009,3.400851,2.971905,0.665418,0.393566,1.120092,63.931433,14.762007,4.158611,1.085255,0.494436,0.634017,0.815809,0.284794,0.212014,0.592062,0.674003,0.529275,0.116542,0.078548,0.089604,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531373115.816709,0.112792,0.050498,0.022197,0.027873,0.063401,0.566235,0.335899,0.153421,0.102486,0.175119,1.056341,0.911183,0.335609,0.300832,0.476951,1.473259,1.260329,0.304703,0.258860,0.647212,1.137529,0.526611,0.271939,0.322987,0.387410,0.351875,0.321676,0.299125,0.245768,0.417946,1.214158,0.837058,0.523386,0.655867,0.903708,0.905071,0.666590,0.659671,0.299276,0.816587,1.334340,1.206891,1.004863,0.439097,0.906382,2.268417,2.371273,1.384483,0.521573,1.200233,2.833623,2.267145,0.654334,0.390831,0.898657,46.638075,10.640624,3.092711,0.854327,0.412290,0.910630,0.687361,0.388457,0.240164,0.497859,0.517719,0.359439,0.118553,0.069774,0.081946,4,4,4,4,4,4,4,4,4,4,4,4,4,4
