Theta,Alpha,Low_beta,High_beta,Gamma
0.037749777,0.054255761,0.029600586,0.026969811,0.026962896
0.254567777,0.323782941,0.151125217,0.130726159,0.117952679
0.376523548,0.610989829,0.239144093,0.172711429,0.14339949
0.564162717,0.631755745,0.36694499,0.26623239,0.204965684
0.440266432,0.422267435,0.299378776,0.264476428,0.34970721
0.192569154,0.189459968,0.174121838,0.182561821,0.267198968
0.410143782,0.695336437,0.463787482,0.363456713,0.448864605
0.580577352,1.588617027,0.763233197,0.464085918,0.457014883
0.831187425,1.842301961,1.058270911,0.89587047,1.148292762
0.876180884,2.136299295,0.656913617,0.424726879,0.316244922
0.622512344,1.588159759,0.460009571,0.337180572,0.267995511
0.089197535,0.182859698,0.07172656,0.054139593,0.052045032
0.386280123,0.679741153,0.232867841,0.183258575,0.149296812
0.047631692,0.073472418,0.034284955,0.029572589,0.028095029
,,,,
0.407825039,0.787092816,0.357243545,0.271140668,0.284145463
