TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531224438.524586,1.313716,1.858947,1.932322,1.398381,0.780076,1.449830,1.449838,1.680313,1.161209,0.820344,0.878435,0.827239,0.677287,0.603234,0.363583,0.792446,0.945208,0.965692,0.836467,0.793701,1.296720,1.996922,3.931864,5.317447,5.393818,0.945646,2.933070,2.804516,0.763220,1.356017,1.129283,5.693832,2.802412,1.972210,0.727773,1.328911,13.819064,3.573479,6.516009,0.909334,3.743578,3.256309,2.160576,3.183233,0.970503,3.730742,1.343811,2.391594,3.340662,1.601820,4.590649,1.795635,1.500001,1.935796,0.816342,2.331734,1.653093,1.623744,1.435814,0.559493,5.106945,1.774175,2.000909,1.854921,0.749065,1.625260,1.339217,1.205832,1.270617,0.678221,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224438.650672,1.408800,1.786154,1.908649,1.267103,0.791556,1.483390,1.347544,1.476327,1.146758,0.799804,1.164033,0.848007,0.755035,0.564858,0.366300,0.840799,0.983370,0.871587,0.853176,0.785808,1.015109,1.723652,3.696888,5.081634,5.087634,0.631976,1.652532,2.252986,0.717995,1.306775,1.163089,3.448117,1.551447,1.727236,0.693997,1.193342,10.476035,2.962882,7.986053,0.911879,3.459013,2.780271,1.800559,3.260363,0.927747,3.567456,1.526366,2.177596,2.757812,1.485308,5.029571,1.879915,1.367927,1.832332,0.798296,2.822044,1.602828,1.579298,1.300917,0.590357,5.621326,1.819624,1.768608,1.639018,0.705695,1.766109,1.208499,1.094170,1.137841,0.710991,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224438.776858,1.659510,1.881231,2.056810,1.170236,0.800731,1.701649,1.234486,1.332822,1.152979,0.781501,1.578286,0.929823,0.917511,0.542360,0.371280,1.017603,1.015575,0.831908,0.879721,0.758133,0.882869,1.446239,3.810202,5.090031,4.613788,0.417317,0.798279,2.129612,0.856127,1.211591,1.228209,2.038978,0.943279,1.644390,0.646012,1.278693,7.692635,2.933994,9.638055,0.886472,3.195827,2.537408,1.642458,3.602402,0.874266,3.533219,1.855889,1.852122,2.408226,1.328946,5.482383,2.150024,1.405314,1.818304,0.776462,3.416139,1.731125,1.711940,1.203898,0.635320,6.572995,1.983626,1.585414,1.481934,0.669257,1.940169,1.238030,1.149903,1.041072,0.745663,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224438.903443,2.016010,2.123614,2.391480,1.141361,0.799478,2.072718,1.138242,1.337324,1.190776,0.757726,2.037655,1.061138,1.147572,0.560298,0.373794,1.295675,1.040231,0.901512,0.914575,0.707770,0.944231,1.209069,4.548269,5.405774,4.086448,0.358713,0.384558,2.428765,1.116851,1.083660,1.396615,1.371264,0.860277,1.639642,0.586705,1.583172,5.907659,3.352350,10.986308,0.822364,2.965529,2.479359,1.689375,4.070538,0.813352,3.587130,2.279816,1.503513,2.346780,1.156522,5.806944,2.592105,1.644477,1.881842,0.742866,4.010875,2.016454,1.985900,1.169693,0.677181,7.705252,2.260468,1.551858,1.402823,0.638649,2.127928,1.422706,1.349999,1.005023,0.763163,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224439.030229,2.329558,2.386230,2.838801,1.181849,0.783968,2.488547,1.053553,1.513252,1.253133,0.726920,2.396054,1.189430,1.392966,0.624862,0.370108,1.597625,1.040654,1.087049,0.943173,0.641595,1.188837,1.050154,5.840769,5.942881,3.632498,0.460470,0.270132,2.953970,1.420978,0.945995,1.730191,1.133361,1.225058,1.625605,0.524144,2.074416,5.239540,4.010755,11.565644,0.728221,2.755061,2.539083,1.953147,4.428363,0.755679,3.618952,2.695054,1.280000,2.479069,0.995828,5.804962,3.076975,2.042349,1.955055,0.697559,4.373873,2.335224,2.317156,1.193172,0.703018,8.485131,2.549779,1.716921,1.372532,0.613876,2.240204,1.660169,1.628808,1.019612,0.752256,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224439.156615,2.459774,2.498921,3.253930,1.268091,0.753858,2.749141,0.954052,1.790029,1.322681,0.695401,2.522958,1.244096,1.584072,0.720779,0.358736,1.787320,0.999939,1.333877,0.949610,0.573101,1.491726,0.970493,7.299556,6.493007,3.338730,0.660237,0.299880,3.478039,1.694728,0.824588,2.216148,1.150361,2.111806,1.554329,0.472708,2.656052,5.536540,4.737053,11.142010,0.627063,2.499554,2.661726,2.393356,4.478864,0.713310,3.428110,2.962164,1.282562,2.635692,0.864850,5.335004,3.411737,2.475975,1.962451,0.648336,4.314839,2.517719,2.596428,1.250319,0.705080,8.419824,2.699412,2.043868,1.343453,0.595766,2.198274,1.805366,1.899048,1.055339,0.712835,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224439.282701,2.380384,2.369947,3.501446,1.368335,0.713766,2.796997,0.827518,2.048372,1.379184,0.672121,2.385294,1.186277,1.674371,0.817851,0.341507,1.805328,0.926919,1.562333,0.927670,0.513661,1.739040,0.944016,8.423963,6.833754,3.219402,0.888416,0.398352,3.795547,1.875608,0.737482,2.773313,1.540451,3.681840,1.424665,0.443982,3.201815,6.495545,5.416806,9.822832,0.547596,2.204940,2.804720,2.887508,4.181459,0.694034,3.054241,2.982573,1.518687,2.702608,0.772754,4.479092,3.466083,2.813328,1.866488,0.609241,3.802788,2.464011,2.741040,1.310584,0.683538,7.479024,2.597206,2.431650,1.283649,0.587004,2.005871,1.777458,2.104288,1.084758,0.655028,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224439.408986,2.124751,2.060643,3.523227,1.460376,0.672313,2.600300,0.700757,2.190770,1.407579,0.660676,2.031619,1.035436,1.660406,0.887085,0.322575,1.661630,0.864905,1.717315,0.885388,0.466595,1.863675,0.937471,8.858133,6.878540,3.215490,1.074548,0.559801,3.802250,1.955407,0.688926,3.269046,2.549307,5.975214,1.293009,0.443334,3.583598,7.791272,6.001029,7.989165,0.511606,1.905054,2.962098,3.273078,3.653001,0.697135,2.667500,2.777256,1.931321,2.673765,0.724954,3.532518,3.260371,3.009113,1.688392,0.592277,2.992807,2.204138,2.735387,1.352424,0.647552,5.903199,2.255643,2.784365,1.192063,0.589672,1.724266,1.609652,2.244301,1.099803,0.592221,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224439.535272,1.827355,1.705063,3.363211,1.532885,0.637927,2.292415,0.612547,2.196749,1.405014,0.660520,1.583392,0.842805,1.579715,0.912841,0.305998,1.444183,0.861626,1.794601,0.840813,0.430083,1.863748,0.923138,8.562579,6.713639,3.238422,1.170307,0.773077,3.520000,1.968298,0.673717,3.573589,4.249008,8.697640,1.242048,0.468373,3.722245,9.091323,6.484833,6.107275,0.527389,1.647397,3.140144,3.444789,3.064777,0.713803,2.523290,2.470525,2.444113,2.596389,0.724883,2.846311,2.913432,3.113981,1.478784,0.601112,2.149720,1.839927,2.636799,1.367856,0.610775,4.370514,1.784547,3.055986,1.082373,0.603464,1.469610,1.389451,2.361913,1.107584,0.534985,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224439.661558,1.594332,1.433316,3.124496,1.570746,0.617563,2.012116,0.580207,2.120084,1.373676,0.673537,1.171806,0.662948,1.477876,0.888406,0.295362,1.257216,0.927364,1.822081,0.803764,0.405402,1.781681,0.913769,7.813789,6.524033,3.241615,1.145778,1.001117,3.088016,1.958990,0.688159,3.592840,6.351934,11.227284,1.325438,0.511965,3.572087,10.097759,6.879478,4.548714,0.588447,1.439949,3.314035,3.426223,2.553424,0.734259,2.712538,2.196606,2.975835,2.509873,0.769695,2.588112,2.555628,3.215549,1.280736,0.633585,1.512458,1.478486,2.520653,1.347320,0.587542,3.277662,1.322599,3.249898,0.962743,0.628724,1.333004,1.206145,2.490286,1.110844,0.492117,4,4,4,4,4,4,4,4,4,4,4,4,4,4
