TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531224833.038112,3.649544,1.065033,1.772046,0.847764,0.581240,2.092000,0.745532,1.383557,0.783618,0.703188,1.320267,0.681608,0.799964,0.405615,0.325104,1.555474,0.374846,0.989516,0.365779,0.352197,1.010302,1.106732,1.932180,2.004702,2.111326,1.079265,0.323300,1.429669,1.004401,0.654736,1.435250,1.411829,1.618182,1.796463,0.359186,2.994388,3.823938,4.545180,4.407818,0.608128,1.672934,1.940715,4.965793,1.637705,0.693326,43.864977,6.027426,5.805940,1.524819,1.055870,2.792635,1.612986,3.459782,0.881322,0.726169,3.187259,1.449725,1.772031,0.990327,0.565628,4.449931,1.062454,2.392537,0.814792,0.631074,2.402430,0.859994,1.546542,0.702081,0.570556,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.164197,3.334537,0.991588,1.828555,0.596902,0.609590,1.844463,0.694016,1.361016,0.703586,0.774337,1.263877,0.657335,0.743243,0.325949,0.356847,1.452879,0.393482,0.943636,0.422710,0.424664,0.989489,1.427957,2.634278,2.471627,2.479743,1.003436,0.232150,1.293611,1.117605,0.732830,1.402946,1.635205,2.024613,1.778458,0.373245,3.236929,3.898833,4.441659,4.492530,0.616896,1.657385,2.227006,4.425640,1.698102,0.758246,15.517859,2.531933,3.712425,1.008782,1.131518,3.127432,1.692409,3.516402,0.649430,0.798964,3.314842,1.447334,1.898899,0.733347,0.626539,4.481769,1.364580,2.556226,0.647422,0.709053,2.460614,0.894125,1.697881,0.566423,0.635628,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.290082,2.801614,1.011272,1.825893,0.492145,0.621628,1.505214,0.701706,1.253871,0.739170,0.855030,1.115823,0.644347,0.703205,0.296100,0.374778,1.253483,0.450030,0.885990,0.520523,0.511346,0.917257,1.742013,3.593680,3.014636,2.852413,0.873172,0.203990,1.178697,1.334128,0.798277,1.390219,1.921230,2.643100,1.859411,0.382031,3.312499,4.813025,4.317149,4.443635,0.624758,1.645888,2.519834,3.598636,1.789181,0.819585,4.634813,1.583275,2.637617,0.947462,1.284805,3.229358,1.744168,3.251888,0.575155,0.863690,3.148011,1.476637,1.953186,0.643370,0.691257,4.251329,1.672321,2.520882,0.659655,0.785237,2.310651,0.981222,1.754956,0.560727,0.689546,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.416367,2.201969,1.110605,1.756661,0.504399,0.615718,1.217726,0.738257,1.106364,0.846829,0.933834,0.912200,0.643407,0.691772,0.305295,0.371996,1.020330,0.518385,0.823927,0.627373,0.596680,0.826756,2.008059,4.713786,3.500411,3.192732,0.743159,0.224193,1.159417,1.611240,0.842761,1.406790,2.197040,3.439183,2.012747,0.383424,3.170810,5.940981,4.261790,4.276739,0.635146,1.595540,2.707673,2.696566,1.909497,0.865960,2.540264,1.690492,1.943393,1.152830,1.453143,3.030805,1.766028,2.735943,0.635918,0.907514,2.720781,1.547197,1.917179,0.681490,0.744000,3.789999,1.912205,2.261456,0.804687,0.839278,1.994487,1.092603,1.699784,0.645888,0.717189,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.542452,1.666621,1.218476,1.627879,0.569952,0.593752,1.042434,0.754415,0.977571,0.962675,0.990048,0.707810,0.642910,0.702915,0.335004,0.348233,0.818969,0.561954,0.761397,0.708861,0.660429,0.765680,2.192381,5.825197,3.802364,3.457124,0.679251,0.279755,1.296558,1.877989,0.861413,1.435337,2.399757,4.281178,2.177505,0.378681,2.825770,6.900813,4.329787,4.036585,0.653791,1.493596,2.715327,1.956067,2.019234,0.888679,2.008283,1.833775,1.407938,1.454902,1.574348,2.587745,1.726443,2.113794,0.770320,0.918210,2.159766,1.626950,1.793017,0.767818,0.768445,3.174410,1.997147,1.846892,0.996084,0.853100,1.610057,1.177186,1.540571,0.756481,0.710130,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.668537,1.248818,1.269495,1.459842,0.645083,0.560195,0.963635,0.723866,0.900368,1.036937,1.003128,0.552356,0.635354,0.721929,0.376100,0.310044,0.695023,0.562333,0.695704,0.744498,0.686307,0.782647,2.289203,6.739489,3.871821,3.607344,0.731984,0.375173,1.582539,2.064007,0.852482,1.472594,2.487248,4.972754,2.285221,0.372367,2.387814,7.551884,4.497121,3.775749,0.687863,1.374840,2.543625,1.513433,2.059290,0.887144,1.795028,1.914911,1.134264,1.768298,1.611688,2.043493,1.611532,1.535640,0.934985,0.891027,1.602292,1.675820,1.597375,0.845455,0.754849,2.510828,1.899926,1.399044,1.167112,0.820244,1.251028,1.206257,1.303916,0.848395,0.671023,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.794422,0.951393,1.242112,1.282755,0.726158,0.521336,0.919123,0.656990,0.869282,1.059163,0.963774,0.476556,0.624628,0.727674,0.433032,0.267986,0.646996,0.525684,0.619660,0.735721,0.669293,0.887241,2.294196,7.292421,3.747145,3.621894,0.879679,0.515608,1.932993,2.120373,0.817476,1.516332,2.445740,5.319122,2.277399,0.370489,1.938986,7.851194,4.721077,3.567242,0.738927,1.283711,2.255412,1.370475,1.994507,0.866808,1.822437,2.005287,1.205299,2.021073,1.550853,1.570229,1.433707,1.097892,1.119154,0.831271,1.172632,1.665593,1.362982,0.906140,0.706160,1.931229,1.655932,1.024345,1.293164,0.749313,0.989306,1.178432,1.030577,0.916217,0.611941,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224833.921007,0.762642,1.166014,1.146024,0.825491,0.483453,0.862499,0.593348,0.872097,1.049085,0.878211,0.481921,0.621757,0.713134,0.507808,0.230581,0.652844,0.471912,0.542488,0.701677,0.616541,1.027009,2.231843,7.443226,3.524431,3.503288,1.055563,0.697657,2.223745,2.031797,0.761565,1.519630,2.304671,5.214340,2.149601,0.377083,1.497304,7.836094,4.974665,3.486200,0.797634,1.251126,1.946202,1.423497,1.844843,0.833457,2.031483,2.113961,1.579530,2.177281,1.402234,1.271642,1.220933,0.841841,1.320250,0.749786,0.917509,1.583712,1.146997,0.961927,0.633932,1.537910,1.345364,0.794785,1.377569,0.658305,0.851133,1.128266,0.786427,0.972238,0.547070,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224834.046992,0.663268,1.087810,1.073722,0.945808,0.451456,0.801715,0.568935,0.896036,1.034708,0.766074,0.531082,0.637775,0.678145,0.592343,0.201121,0.657821,0.423738,0.485542,0.666610,0.543479,1.119749,2.133491,7.255752,3.309941,3.280332,1.181075,0.899555,2.338603,1.827515,0.694535,1.459402,2.118991,4.690505,1.965304,0.390960,1.089475,7.632987,5.239532,3.603871,0.844048,1.267970,1.711374,1.530445,1.684189,0.790613,2.413295,2.173300,2.108714,2.243391,1.200164,1.151885,0.995306,0.755268,1.513265,0.661543,0.812754,1.432513,0.984964,1.018295,0.554095,1.404655,1.047810,0.722230,1.423189,0.567566,0.826805,1.087350,0.621001,1.023294,0.487553,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531224834.173077,0.615301,1.054334,1.074938,1.070166,0.428414,0.687999,0.598259,0.941554,1.037620,0.652462,0.589059,0.685024,0.637357,0.668612,0.178206,0.638480,0.397242,0.470484,0.649118,0.467516,1.114308,2.028673,6.830928,3.157561,2.999841,1.202801,1.078115,2.227572,1.569419,0.627930,1.334358,1.937003,3.908378,1.810514,0.406422,0.743481,7.395609,5.473807,3.948015,0.854828,1.293476,1.604382,1.591807,1.591081,0.738156,2.857180,2.118993,2.644899,2.243170,0.990902,1.140045,0.783939,0.801557,1.651452,0.582388,0.807679,1.246507,0.901632,1.065272,0.482251,1.494763,0.822937,0.773279,1.423568,0.493006,0.868408,1.076192,0.562148,1.062140,0.438926,4,4,4,4,4,4,4,4,4,4,4,4,4,4
