TimeStamp,AF3_THETA,AF3_ALPHA,AF3_LOW_BETA,AF3_HIGH_BETA,AF3_GAMMA,F7_THETA,F7_ALPHA,F7_LOW_BETA,F7_HIGH_BETA,F7_GAMMA,F3_THETA,F3_ALPHA,F3_LOW_BETA,F3_HIGH_BETA,F3_GAMMA,FC5_THETA,FC5_ALPHA,FC5_LOW_BETA,FC5_HIGH_BETA,FC5_GAMMA,T7_THETA,T7_ALPHA,T7_LOW_BETA,T7_HIGH_BETA,T7_GAMMA,P7_THETA,P7_ALPHA,P7_LOW_BETA,P7_HIGH_BETA,P7_GAMMA,O1_THETA,O1_ALPHA,O1_LOW_BETA,O1_HIGH_BETA,O1_GAMMA,O2_THETA,O2_ALPHA,O2_LOW_BETA,O2_HIGH_BETA,O2_GAMMA,P8_THETA,P8_ALPHA,P8_LOW_BETA,P8_HIGH_BETA,P8_GAMMA,T8_THETA,T8_ALPHA,T8_LOW_BETA,T8_HIGH_BETA,T8_GAMMA,FC6_THETA,FC6_ALPHA,FC6_LOW_BETA,FC6_HIGH_BETA,FC6_GAMMA,F4_THETA,F4_ALPHA,F4_LOW_BETA,F4_HIGH_BETA,F4_GAMMA,F8_THETA,F8_ALPHA,F8_LOW_BETA,F8_HIGH_BETA,F8_GAMMA,AF4_THETA,AF4_ALPHA,AF4_LOW_BETA,AF4_HIGH_BETA,AF4_GAMMA,CQ_AF3,CQ_F7,CQ_F3,CQ_FC5,CQ_T7,CQ_P7,CQ_O1,CQ_O2,CQ_P8,CQ_T8,CQ_FC6,CQ_F4,CQ_F8,CQ_AF4
1531392405.292737,0.679076,1.049878,0.325967,0.165206,0.146298,5.794722,4.304678,1.485901,1.350096,0.726362,1.285817,2.102670,0.512343,0.254429,0.288449,5.662133,3.872436,0.941510,0.402639,0.677277,5.301635,3.477054,1.700327,0.680801,0.536086,1.961925,1.114751,0.829716,0.396464,0.252771,2.304645,2.272287,1.915273,0.644763,0.413022,0.221488,0.322944,0.203376,0.079897,0.124563,0.657554,0.638840,0.365859,0.183355,0.181374,4.686264,2.632264,1.417668,0.745616,0.695784,2.807117,1.690311,1.061751,0.454278,0.420700,2.905685,2.742592,0.832149,0.386483,0.325303,4.804834,3.199300,1.592239,0.457956,0.641636,0.601784,0.764200,0.254860,0.125913,0.194728,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392405.418421,0.512265,0.921214,0.397007,0.167906,0.162937,4.064713,3.984223,2.038179,1.289721,0.719020,1.019010,1.811308,0.622401,0.276040,0.325018,4.428854,3.298242,1.171303,0.421849,0.736173,4.610412,3.186025,1.999049,0.693181,0.591430,1.694217,0.972265,0.880816,0.397944,0.273046,1.995447,1.876268,1.784148,0.671954,0.457528,0.198076,0.276880,0.196688,0.083116,0.121801,0.591597,0.632385,0.416972,0.191940,0.202282,4.100789,2.235986,1.796649,0.827208,0.819316,2.018120,1.549029,1.256306,0.481695,0.484671,2.334763,2.313734,1.003561,0.415630,0.360467,3.466688,2.955240,1.823381,0.487832,0.701332,0.450545,0.648820,0.282802,0.141576,0.199530,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392405.546106,0.406584,0.750726,0.490111,0.188308,0.177591,2.687187,3.426384,2.609773,1.206247,0.718558,0.785332,1.418089,0.758131,0.307107,0.347757,3.261373,2.515409,1.392597,0.495637,0.752922,3.995632,2.671259,2.201499,0.712946,0.629458,1.365333,0.804303,0.880409,0.399710,0.285335,1.695823,1.434249,1.592972,0.680793,0.488848,0.171138,0.243682,0.195552,0.088124,0.122196,0.490682,0.628410,0.461159,0.196632,0.219924,3.487196,1.841888,2.256730,0.902984,0.912958,1.401708,1.315932,1.472956,0.519759,0.540123,1.808786,1.770303,1.225617,0.448575,0.388110,2.498003,2.486829,2.048203,0.554884,0.735393,0.361983,0.498315,0.325553,0.160299,0.189896,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392405.673792,0.387754,0.591207,0.577782,0.223741,0.186564,2.000441,2.821782,3.033222,1.146885,0.716074,0.664145,1.034453,0.877656,0.350861,0.351207,2.398047,1.749792,1.520114,0.608960,0.723132,3.687801,2.108441,2.228230,0.737000,0.642149,1.069470,0.667301,0.824092,0.402138,0.285218,1.472373,1.090198,1.376103,0.672097,0.501958,0.148940,0.229046,0.189707,0.094097,0.125696,0.389946,0.632254,0.475636,0.200062,0.230397,3.058270,1.551518,2.636078,0.985916,0.964569,1.106391,1.088796,1.641031,0.574128,0.575400,1.477589,1.285543,1.438568,0.491958,0.401673,2.058210,1.960020,2.209704,0.676711,0.739771,0.346048,0.356350,0.369380,0.181339,0.169286,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392405.801478,0.446662,0.478903,0.633653,0.265246,0.188272,1.915151,2.324041,3.169076,1.144830,0.703866,0.685529,0.740254,0.940760,0.404924,0.338001,1.943046,1.164706,1.505605,0.733624,0.657966,3.689324,1.656483,2.048881,0.762931,0.629250,0.904460,0.594602,0.718159,0.404556,0.274180,1.366050,0.924355,1.160400,0.651209,0.498238,0.135383,0.233626,0.174536,0.100879,0.130764,0.336955,0.644566,0.455107,0.208368,0.231314,2.921492,1.418134,2.794074,1.093331,0.971850,1.104394,0.956526,1.694797,0.641274,0.584936,1.377122,0.970816,1.572757,0.547477,0.401908,2.044504,1.530438,2.251807,0.848719,0.719540,0.381941,0.253378,0.396813,0.201506,0.145228,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392405.929163,0.555060,0.425692,0.639581,0.300811,0.185059,2.359099,2.019372,2.972538,1.198257,0.680426,0.847130,0.573403,0.926969,0.459749,0.319483,1.915438,0.826775,1.360953,0.841588,0.580280,3.874077,1.402370,1.708008,0.789351,0.601762,0.918123,0.592157,0.582379,0.405846,0.259289,1.415331,0.943626,0.959090,0.626604,0.485097,0.131631,0.257220,0.152729,0.109253,0.135255,0.376382,0.668898,0.410719,0.227222,0.222898,3.138439,1.466677,2.672680,1.229857,0.941589,1.279443,0.967507,1.604321,0.709166,0.574389,1.492585,0.856242,1.582637,0.608393,0.398915,2.255064,1.297795,2.150156,1.041856,0.689327,0.436756,0.199302,0.396087,0.215978,0.126048,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.056849,0.691587,0.423319,0.595335,0.318774,0.181891,3.221385,1.914199,2.528857,1.271473,0.651466,1.134206,0.533861,0.849200,0.502176,0.309507,2.291985,0.730601,1.150168,0.904839,0.513462,4.060891,1.370958,1.322564,0.806461,0.575561,1.114493,0.650269,0.457074,0.404450,0.248651,1.668389,1.116663,0.804111,0.604323,0.471079,0.141560,0.300465,0.133917,0.118355,0.137089,0.532900,0.710524,0.361319,0.255699,0.207619,3.725034,1.706023,2.329012,1.376156,0.884225,1.551859,1.117199,1.395501,0.760872,0.557233,1.788936,0.908826,1.470089,0.661526,0.406037,2.615404,1.281275,1.930762,1.210315,0.666444,0.504553,0.188993,0.366070,0.220520,0.117016,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.184535,0.860333,0.448712,0.517625,0.313751,0.183867,4.498965,1.953645,2.003804,1.325811,0.625593,1.557787,0.574089,0.744244,0.522777,0.316030,3.106343,0.813091,0.960663,0.909886,0.471218,4.222223,1.532867,1.038886,0.805008,0.563323,1.477021,0.758925,0.389738,0.399328,0.246116,2.216469,1.412596,0.775226,0.584789,0.460538,0.175771,0.358263,0.131250,0.125719,0.134679,0.821815,0.773973,0.332620,0.284813,0.189041,4.729567,2.094742,1.892917,1.494916,0.808905,1.932423,1.341912,1.138097,0.780874,0.546784,2.290340,1.031859,1.282656,0.692221,0.431036,3.202023,1.427286,1.652588,1.309202,0.661920,0.602033,0.205200,0.314891,0.212836,0.118395,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.312221,1.113771,0.471457,0.440255,0.291423,0.193330,6.033180,2.027192,1.582769,1.369939,0.611435,2.167998,0.630733,0.662302,0.526597,0.335889,4.376185,1.009642,0.870782,0.872123,0.452688,4.532890,1.847862,0.940593,0.782232,0.567502,2.825148,1.231029,0.524057,0.418759,0.257888,3.190154,1.788405,0.961771,0.570484,0.452039,0.243106,0.415000,0.152622,0.128952,0.127377,1.246130,0.850201,0.361159,0.306404,0.171285,6.300610,2.519265,1.499006,1.554293,0.722160,2.556559,1.546540,0.923255,0.769256,0.548943,3.102750,1.115162,1.096229,0.697455,0.470499,4.138291,1.616392,1.386850,1.319658,0.673725,0.763574,0.231027,0.262095,0.196246,0.126002,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1531392406.439907,1.445315,0.481468,0.412921,0.266277,0.208379,7.593384,2.181886,1.477586,1.459396,0.611481,2.945199,0.687157,0.679874,0.529515,0.356910,5.982857,1.352806,0.989447,0.828025,0.447696,5.172173,2.373901,1.072245,0.742929,0.579518,8.906905,3.061340,1.188104,0.566597,0.306224,4.556935,2.190578,1.406532,0.565847,0.440947,0.341330,0.450544,0.198267,0.127714,0.115910,1.771765,0.928986,0.487404,0.320433,0.158106,8.294654,2.918285,1.322998,1.550120,0.629640,3.480049,1.692331,0.865604,0.745441,0.560118,4.234088,1.137415,1.037964,0.687111,0.510812,5.432780,1.807735,1.255966,1.253681,0.689053,1.018131,0.279113,0.246652,0.179543,0.133688,4,4,4,4,4,4,4,4,4,4,4,4,4,4
